Id,ActivityDay,StepTotal
21224,3/9/2023,15266
21224,3/10/2023,11605
21224,3/11/2023,6280
21224,3/12/2023,3198
21224,3/13/2023,10286
21224,3/14/2023,8934
21224,3/15/2023,5660
21224,3/16/2023,3735
21224,3/17/2023,684
21224,3/18/2023,7408
21224,3/19/2023,5408
21224,3/20/2023,0
21225,2/28/2023,3830
21225,3/1/2023,3428
21225,3/2/2023,8264
21225,3/3/2023,4833
21225,3/4/2023,3142
21225,3/5/2023,3692
21225,3/6/2023,4170
21225,3/7/2023,9309
21225,3/8/2023,9430
21225,3/9/2023,8351
21225,3/10/2023,8589
21225,3/11/2023,11350
21225,3/12/2023,6345
21225,3/13/2023,6046
21225,3/14/2023,6112
21225,3/15/2023,3231
21225,3/16/2023,1636
21225,3/17/2023,1994
21225,3/18/2023,3329
21225,3/19/2023,2647
21225,3/20/2023,13095
21225,3/21/2023,11417
21225,3/22/2023,864
21226,2/28/2023,11454
21226,3/1/2023,13200
21226,3/2/2023,16389
21226,3/3/2023,8786
21226,3/4/2023,11919
21226,3/5/2023,6336
21226,3/6/2023,8618
21226,3/7/2023,10517
21226,3/8/2023,6318
21226,3/9/2023,104
21226,3/10/2023,458
21226,3/11/2023,164
21226,3/12/2023,470
21226,3/13/2023,4672
21226,3/14/2023,4262
21226,3/15/2023,9254
21226,3/16/2023,2471
21226,3/17/2023,3280
21226,3/18/2023,1438
21226,3/19/2023,1620
21226,3/20/2023,9423
21226,3/21/2023,14838
21226,3/22/2023,4525
21227,2/28/2023,33594
21227,3/1/2023,32167
21227,3/2/2023,21858
21227,3/3/2023,1542
21227,3/4/2023,5678
21227,3/5/2023,28611
21227,3/6/2023,23063
21227,3/7/2023,25235
21227,3/8/2023,14946
21227,3/9/2023,29799
21227,3/10/2023,12273
21227,3/11/2023,12963
21227,3/12/2023,23330
21227,3/13/2023,30014
21227,3/14/2023,30260
21227,3/15/2023,25413
21227,3/16/2023,16619
21227,3/17/2023,16069
21227,3/18/2023,21986
21227,3/19/2023,30106
21227,3/20/2023,30014
21227,3/21/2023,23137
21227,3/22/2023,7547
21228,2/28/2023,0
21228,3/1/2023,877
21228,3/2/2023,8216
21228,3/3/2023,8619
21228,3/4/2023,3439
21228,3/5/2023,4088
21228,3/6/2023,8612
21228,3/7/2023,7409
21228,3/8/2023,7664
21228,3/9/2023,7887
21228,3/10/2023,6315
21228,3/11/2023,3570
21228,3/12/2023,7234
21228,3/13/2023,6945
21228,3/14/2023,4915
21228,3/15/2023,8019
21228,3/16/2023,2348
21228,3/17/2023,2480
21228,3/18/2023,4429
21228,3/19/2023,4396
21228,3/20/2023,8692
21228,3/21/2023,8623
21228,3/22/2023,2479
21301,2/28/2023,8146
21301,3/1/2023,8795
21301,3/2/2023,8590
21301,3/3/2023,6694
21301,3/4/2023,5764
21301,3/5/2023,5487
21301,3/6/2023,8104
21301,3/7/2023,7962
21301,3/8/2023,9721
21301,3/9/2023,9704
21301,3/10/2023,12244
21301,3/11/2023,8212
21301,3/12/2023,10808
21301,3/13/2023,11067
21301,3/14/2023,10069
21301,3/15/2023,10040
21301,3/16/2023,10488
21301,3/17/2023,10255
21301,3/18/2023,10503
21301,3/19/2023,11197
21301,3/20/2023,10790
21301,3/21/2023,7412
21301,3/22/2023,2355
21302,2/28/2023,7293
21302,3/1/2023,9067
21302,3/2/2023,12499
21302,3/3/2023,6641
21302,3/4/2023,7100
21302,3/5/2023,11101
21302,3/6/2023,8194
21302,3/7/2023,7684
21302,3/8/2023,8006
21302,3/9/2023,9194
21302,3/10/2023,8653
21302,3/11/2023,13591
21302,3/12/2023,8382
21302,3/13/2023,12269
21302,3/14/2023,19684
21302,3/15/2023,21718
21302,3/16/2023,17989
21302,3/17/2023,8642
21302,3/18/2023,5133
21302,3/19/2023,14137
21302,3/20/2023,7538
21302,3/21/2023,12512
21302,3/22/2023,3789
21303,2/28/2023,13769
21303,3/1/2023,11026
21303,3/2/2023,9431
21303,3/3/2023,9427
21303,3/4/2023,11190
21303,3/5/2023,9919
21303,3/6/2023,11744
21303,3/7/2023,8276
21303,3/8/2023,12131
21303,3/9/2023,15287
21303,3/10/2023,11529
21303,3/11/2023,6996
21303,3/12/2023,6124
21303,3/13/2023,6772
21303,3/14/2023,7012
21303,3/15/2023,7459
21303,3/16/2023,9151
21303,3/17/2023,10161
21303,3/18/2023,8005
21303,3/19/2023,8965
21303,3/20/2023,12870
21303,3/21/2023,12405
21303,3/22/2023,0
21304,2/28/2023,5102
21304,3/1/2023,5516
21304,3/2/2023,5120
21304,3/3/2023,4653
21304,3/4/2023,6411
21304,3/5/2023,5929
21304,3/6/2023,3269
21304,3/7/2023,4619
21304,3/8/2023,4263
21304,3/9/2023,6419
21304,3/10/2023,5948
21304,3/11/2023,4014
21304,3/12/2023,10075
21304,3/13/2023,10151
21304,3/14/2023,10202
21304,3/15/2023,3723
21304,3/16/2023,3324
21304,3/17/2023,3824
21304,3/18/2023,2408
21304,3/19/2023,3270
21304,3/20/2023,2883
21304,3/21/2023,2661
21304,3/22/2023,2255
21305,2/28/2023,0
21305,3/1/2023,5675
21305,3/2/2023,6313
21305,3/3/2023,6757
21305,3/4/2023,3593
21305,3/5/2023,2247
21305,3/6/2023,4386
21305,3/7/2023,7826
21305,3/8/2023,7410
21305,3/9/2023,7129
21305,3/10/2023,8449
21305,3/11/2023,4115
21305,3/12/2023,3499
21305,3/13/2023,4622
