Id,ActivityDay,Calories
22110,2/28/2023,3093
22110,3/1/2023,1907
22110,3/2/2023,2965
22110,3/3/2023,3397
22110,3/4/2023,2767
22110,3/5/2023,2628
22110,3/6/2023,3087
22110,3/7/2023,2868
22110,3/8/2023,3087
22110,3/9/2023,3341
22110,3/10/2023,3694
22110,3/11/2023,2601
22110,3/12/2023,2756
22110,3/13/2023,2546
22110,3/14/2023,1887
22110,3/15/2023,3051
22110,3/16/2023,2391
22110,3/17/2023,2838
22110,3/18/2023,1892
22110,3/19/2023,1888
22110,3/20/2023,3056
22110,3/21/2023,2982
22110,3/22/2023,1905
22111,2/24/2023,2587
22111,2/25/2023,2054
22111,2/26/2023,2180
22111,2/27/2023,2511
22111,2/28/2023,2613
22111,3/1/2023,2519
22111,3/2/2023,2501
22111,3/3/2023,2333
22111,3/4/2023,2236
22111,3/5/2023,2210
22111,3/6/2023,2768
22111,3/7/2023,2769
22111,3/8/2023,2639
22111,3/9/2023,2276
22111,3/10/2023,2801
22111,3/11/2023,1990
22111,3/12/2023,2309
22111,3/13/2023,2213
22111,3/14/2023,2310
22111,3/15/2023,2276
22111,3/16/2023,1981
22111,3/17/2023,2256
22111,3/18/2023,2443
22111,3/19/2023,2309
22111,3/20/2023,2365
22111,3/21/2023,2509
22111,3/22/2023,1302
22112,2/24/2023,1490
22112,2/25/2023,1491
22112,2/26/2023,1493
22112,2/27/2023,2046
22112,2/28/2023,2078
22112,3/1/2023,2377
22112,3/2/2023,2212
22112,3/3/2023,1997
22112,3/4/2023,1811
22112,3/5/2023,1441
22112,3/6/2023,1788
22112,3/7/2023,1910
22112,3/8/2023,2200
22112,3/9/2023,1434
22112,3/10/2023,2269
22112,3/11/2023,1581
22112,3/12/2023,1868
22112,3/13/2023,1918
22112,3/14/2023,1803
22112,3/15/2023,2068
22112,3/16/2023,1789
22112,3/17/2023,1990
22112,3/18/2023,1808
22112,3/19/2023,1466
22112,3/20/2023,2254
22112,3/21/2023,1581
22112,3/22/2023,1097
