Id,SleepDay,DailyRMSSD,DeepRMSSD
22116,03/04/2023,9.923,9.766
22116,03/05/2023,8.79,7.684
22116,03/06/2023,9.919,9.236
22116,03/10/2023,0,9.58
22116,03/11/2023,12.319,10.119
22116,03/13/2023,11.265,11.678
22116,03/15/2023,14.473,16.136
22116,03/16/2023,8.457,8.621
22116,03/17/2023,9.805,8.097
22116,03/18/2023,9.25,8.523
22116,03/19/2023,10.562,9.384
22116,03/20/2023,11.19,8.343
22116,03/21/2023,8.167,8
22116,03/22/2023,10.698,11.939
22119,02/26/2023,23.316,23.375
22119,02/27/2023,29.033,20.743
22119,02/28/2023,23.013,14.688
22119,03/01/2023,21.56,22.418
22119,03/02/2023,25.026,19.338
22119,03/03/2023,22.968,17.964
22119,03/04/2023,26.103,17.66
22119,03/05/2023,29.505,32.236
22119,03/06/2023,21.857,21.612
22119,03/07/2023,26.091,22.956
22119,03/08/2023,27.512,22.809
22119,03/10/2023,22.547,18.407
22119,03/11/2023,23.467,23.136
22119,03/13/2023,25.366,23.639
22119,03/14/2023,17.853,17.525
22119,03/15/2023,18.303,16.472
22119,03/16/2023,34.819,31.85
22119,03/17/2023,26.758,26.803
22119,03/18/2023,29.794,27.394
22119,03/19/2023,25.718,22.934
22119,03/21/2023,22.357,16.376
22119,03/22/2023,16.473,13.664
22120,03/01/2023,35.315,0
22120,03/02/2023,42.877,25.999
22120,03/03/2023,36.613,50.248
22120,03/04/2023,39.776,50.105
22120,03/05/2023,47.987,42.659
22120,03/06/2023,35.225,33.415
22120,03/07/2023,49.768,54.567
22120,03/09/2023,55.152,47.924
22120,03/10/2023,26.585,42.016
22120,03/11/2023,29.085,19.017
22120,03/12/2023,51.146,39.67
22120,03/14/2023,36.974,16.564
22120,03/15/2023,41.798,41.121
22120,03/17/2023,53.11,51.892
22120,03/18/2023,60.378,83.54
22120,03/19/2023,68.466,50.574
22120,03/20/2023,58.134,59.24
22120,03/21/2023,52.716,52.63
22120,03/22/2023,46.575,45.466
22202,02/27/2023,47.228,38.881
22202,02/28/2023,40.017,21.258
22202,03/02/2023,56.16,40.411
22202,03/03/2023,70.677,44.253
22202,03/04/2023,47.93,30.913
22202,03/05/2023,71.256,57.483
22202,03/06/2023,55.951,39.437
22202,03/07/2023,65.316,59.125
22202,03/08/2023,41.831,37.255
22202,03/09/2023,41.517,33.31
22202,03/10/2023,48.685,32.8
22202,03/11/2023,49.681,49.579
22202,03/12/2023,34.586,17.792
22202,03/13/2023,45.357,33.765
22202,03/15/2023,33.409,27.993
22202,03/16/2023,33.869,33.594
22202,03/17/2023,46.059,60.167
22202,03/21/2023,43.159,41.697
22202,03/22/2023,51.717,28.631
22210,02/26/2023,29.83,27.448
22210,02/27/2023,32.264,22.655
22210,02/28/2023,36.427,33.345
22210,03/01/2023,34.842,24.964
22210,03/02/2023,24.942,19.899
22210,03/03/2023,29.29,22.403
22210,03/04/2023,25.06,20.629
22210,03/05/2023,19.043,15.338
22210,03/06/2023,40.763,22.079
22210,03/07/2023,73.262,38.337
22210,03/08/2023,63.364,46.694
22210,03/09/2023,52.771,37.596
22210,03/10/2023,28.494,21.176
22210,03/11/2023,22.472,21.757
22210,03/12/2023,26.775,27.289
22210,03/14/2023,22.436,14.57
22210,03/15/2023,32.537,27.686
22210,03/16/2023,40.109,42.057
22210,03/17/2023,28.025,24.914
22210,03/18/2023,22.914,24.148
22210,03/19/2023,29.17,23.413
22210,03/20/2023,27.424,19.533
22210,03/21/2023,42.344,36.706
22210,03/22/2023,31.359,18.498
22216,02/25/2023,17.932,16.763
22216,02/26/2023,14.604,13.329
22216,02/27/2023,15.035,0
22216,02/28/2023,22.499,25.681
22216,03/01/2023,13.245,9.662
22216,03/02/2023,13.351,14.076
22216,03/03/2023,15.438,23.06
22216,03/04/2023,12.34,14.841
22216,03/05/2023,14.609,13.384
22216,03/06/2023,14.303,13.815
22216,03/07/2023,21.49,23.765
22216,03/08/2023,17.95,13.181
22216,03/09/2023,13.872,12.162
22216,03/10/2023,16.398,14.449
