Id,ActivityDay,ZoneName,Min,Max,Calories,Minutes
21113,3/16/2023,Peak,161,220,0,0
21113,3/17/2023,Out of Range,30,115,2277,1084
21113,3/17/2023,Fat Burn,115,135,83,12
21113,3/17/2023,Cardio,135,161,0,0
21113,3/17/2023,Peak,161,220,0,0
21113,3/18/2023,Out of Range,30,115,2487,1343
21113,3/18/2023,Fat Burn,115,135,503,93
21113,3/18/2023,Cardio,135,161,19,3
21113,3/18/2023,Peak,161,220,0,0
21113,3/19/2023,Out of Range,30,116,2760,1358
21113,3/19/2023,Fat Burn,116,136,445,77
21113,3/19/2023,Cardio,136,161,34,4
