Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
10307,12/8/22,1,418,448
10307,12/9/22,1,352,364
10307,12/10/22,2,556,644
10307,12/11/22,1,388,419
10307,12/12/22,1,291,330
10307,12/13/22,1,287,306
10307,12/14/22,1,311,317
10307,12/15/22,1,237,261
10307,12/16/22,2,329,354
10307,12/17/22,1,558,603
10307,12/18/22,1,543,585
10307,12/19/22,1,344,401
10307,12/20/22,1,175,183
10307,12/21/22,1,141,164
10307,12/29/22,1,74,74
10307,12/30/22,1,516,535
10307,12/31/22,1,358,368
10401,10/22/22,1,768,819
10401,10/23/22,1,253,274
10401,10/24/22,1,517,556
10401,10/28/22,1,182,198
10401,10/29/22,2,620,655
10401,10/30/22,1,519,540
10401,11/1/22,1,536,558
10401,11/2/22,1,395,423
10401,11/3/22,1,93,94
10401,11/4/22,1,270,275
10401,11/5/22,4,730,748
10401,11/9/22,1,435,464
10401,11/10/22,1,369,382
10401,11/11/22,1,581,600
10401,11/12/22,1,477,519
10401,11/13/22,2,684,703
10401,11/23/22,1,87,95
10401,12/1/22,1,573,612
10402,10/18/22,1,520,547
10402,11/2/22,1,406,417
10402,11/3/22,1,414,419
10402,11/8/22,1,342,362
10402,11/11/22,1,154,168
10402,11/12/22,1,313,319
10402,12/1/22,1,205,209
10402,12/6/22,1,346,350
10403,10/12/22,1,287,314
10403,10/13/22,1,374,426
10403,10/14/22,1,444,476
10403,10/16/22,1,577,614
10403,10/17/22,1,343,365
10403,10/19/22,1,426,473
10403,10/21/22,1,342,372
10403,10/22/22,3,465,511
10403,10/24/22,1,419,445
10403,10/25/22,1,273,284
10403,10/26/22,1,354,367
10403,10/28/22,1,346,358
10403,11/1/22,2,491,515
10403,11/2/22,1,297,323
10403,11/3/22,1,234,256
10403,11/4/22,1,399,406
10403,11/5/22,2,486,500
10403,11/6/22,1,327,370
10403,11/7/22,1,404,439
10403,11/8/22,1,400,455
10403,11/9/22,1,377,385
10403,11/10/22,1,424,456
10403,11/11/22,1,323,337
10403,11/12/22,1,581,642
10403,11/15/22,1,399,420
10403,11/16/22,1,360,384
10403,11/18/22,2,497,517
10403,11/19/22,1,334,361
10403,11/22/22,1,284,294
10403,11/23/22,1,560,655
10403,11/27/22,1,518,547
